Method name;Description;Default value
*use_facades*;Consider building facades as a surface available for PV panels.;``False``
*use_pv_orientation*;Account for roof orientation and the shadows cast by neighbouring buildings in the solar potential.;``False``
*building-scale*;Optimize each building as an independent system (one master-problem iteration).;``False``
*district-scale*;Allow energy exchanges between buildings and the use of district units (Dantzig-Wolfe decomposition).;``False``
*parallel_computation*;Solve the sub-problems in parallel processes.;``True``
*switch_off_second_objective*;Build the Pareto curve by minimizing only the first objective and constraining the second.;``False``
*skip_initiation*;Skip the sub-problem initiation round of the decomposition.;``False``
*fix_units*;Fix unit sizes to the values of ``REHO.df_fix_Units`` instead of optimizing them.;``False``
*include_all_solutions*;Let the master problem reuse the sub-problem solutions found for other Pareto points.;``False``
*include_stochasticity*;Add variability to the SIA typical consumption profiles.;``False``
*sd_stochasticity*;``[sd_consumption, sd_timeshift]`` used when ``include_stochasticity`` is enabled.;``[0.1, 1]``
*use_custom_profiles*;Replace the SIA profiles by custom files, as ``{'electricity'|'dhw'|'occupancy': path}``.;``False``
*save_data_input*;Store the optimization inputs (``df_Buildings``, ``df_Weather``, ``df_Index``) in the results.;``True``
*save_timeseries*;Store the time-resolved results (``df_Buildings_t``, ``df_Unit_t``).;``True``
*save_streams*;Store the heat-cascade stream results (``df_Streams_t``).;``False``
*extract_parameters*;Store every parameter passed to AMPL in ``df_Parameters``, for debugging.;``False``
*print_logs*;Print the progress of the optimization.;``True``
*actors_problem*;Solve the multi-actor master problem, minimizing one stakeholder's costs under epsilon constraints on the others.;``False``
*renovation*;List of renovation packages to offer, e.g. ``['window/facade', 'roof']``. ``None`` disables renovation.;``None``
*DHN_CO2*;Use CO2 rather than water as the district-heating heat carrier.;``False``
*interperiod_storage*;Enable seasonal storage units, chained across typical periods.;``False``
*external_district*;Model exchanges with neighbouring districts declared in ``set_indexed['Districts']``.;``False``
